"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000280441",12608.0367280593,3.13743352839226,0.468058925539842,6.70307381655774,2.04080303457074e-11,3.4140593965334e-07
"ENSG00000178715",205.260646281822,-5.0229921716947,0.882898181574229,-5.68920887654178,1.27629275869502e-08,0.000106755507801045
"ENSG00000182348",289.700866701918,6.35474130239462,1.18192318800797,5.3766110749591,7.59008819955912e-08,0.000423248618301415
"ENSG00000168060",55.6253069118446,-4.37347669697032,0.856209230643827,-5.10795322036142,3.25667247827017e-07,0.00136202184722454
"ENSG00000263934",65.5277105436215,4.41721870919203,0.881376832041829,5.01172546021995,5.39441302581208e-07,0.00180486271017621
"ENSG00000278996",321.741904795019,2.8436039863952,0.572767602421934,4.96467323635465,6.8816835864124e-07,0.00191872807861822
"ENSG00000054654",457.222002219914,3.59603189683805,0.758048883566766,4.7437994762528,2.0974648122922e-06,0.00501264126354803
"ENSG00000173918",171.426294064007,-3.47540165531037,0.748607463517877,-4.64248865350429,3.44237548406907e-06,0.00719843743412394
"ENSG00000115919",168.295734009191,-4.57106210815431,0.990207451648322,-4.6162671272017,3.9070398278839e-06,0.00726231880896331
"ENSG00000144619",551.429449625587,4.75532908494565,1.07436534882875,4.42617503452603,9.59187028854105e-06,0.0160462398057003
"ENSG00000163565",535.623884354681,-4.06313457637126,0.939242903027377,-4.32596782288684,1.51863591677788e-05,0.0197402711963513
"ENSG00000138669",132.419941714955,-5.04429921212401,1.16664963289018,-4.32374816732903,1.53400397843605e-05,0.0197402711963513
"ENSG00000261645",118.567105977138,5.07171272448997,1.16660967518425,4.34739470482185,1.37764170680093e-05,0.0197402711963513
"ENSG00000111912",267.337770376827,-2.21741593584265,0.518781476160245,-4.27427739373972,1.9175817974791e-05,0.0229137327785913
"ENSG00000203930",52.9351221984518,6.00314202822969,1.41333013750995,4.24751575651406,2.16153967436924e-05,0.0241069314750154
"ENSG00000274750",128.722175415386,2.35481275108867,0.558372613507735,4.21727838028368,2.47268641337392e-05,0.0258534818808327
"ENSG00000134138",83.2356706592872,3.90850886002794,0.940556506083415,4.15552796110402,3.24537250296459e-05,0.0319363744718204
"ENSG00000260958",9.12541132395383,6.3794846054795,1.55090133656287,4.11340454423608,3.89866292883175e-05,0.0362337400757924
"ENSG00000130164",67.0138931128202,3.50110613487601,0.854673177122371,4.09642683143983,4.19576018182658e-05,0.0369425642535668
